"","ID","GPA"
"1","u01",2.863
"2","u02",3.505
"3","u04",3.029
"4","u05",3.679
"5","u07",3.474
"6","u08",3.705
"7","u09",3.806
"8","u10",3.667
"9","u12",3.245
"10","u14",3.293
"11","u15",2.815
"12","u16",3.373
"13","u17",3.476
"14","u18",3.474
"15","u19",3.947
"16","u22",3.889
"17","u24",2.987
"18","u25",2.765
"19","u27",3.719
"20","u30",3.93
"21","u32",3.826
"22","u33",2.815
"23","u41",3.652
"24","u43",3.79
"25","u46",3.646
"26","u49",3.625
"27","u52",2.4
"28","u54",3.343
"29","u57",3.389
"30","u59",3.519
